"TTTid_A","TTTid_B","Score","Confidence","X5","X6"
"TTT-C1897_D6855043","TTT-1917_163282",5.48,1.73,"3.26419517724426","0.481422795342077"
"TTT-C1897_D6719778","TTT-1917_222506",5.6,1.24,"2.89468085721061","1.47113092774579"
"TTT-C1897_D6986215","TTT-1917_222506",5.6,1.24,"2.89468085721061","1.47113092774579"
"TTT-C1905_D8124646","TTT-1917_194429",6.1,1.7,"3.0641917384625","1.33880807946399"
"TTT-C1868_D7823065","TTT-1917_163282",6.38,1.73,"3.26419517724426","1.38451278233402"
"TTT-C1905_D7576124","TTT-1917_225894",6.82,2.6,"2.62943479890865","1.59284338668889"
"TTT-C1905_D7600722","TTT-1917_225746",7.11,2.67,"4.53483088215836","-0.0969056863238814"
"TTT-C1905_D7570512","TTT-1917_216301",8,5.39,"3.13817957149177","-0.520845066113746"
"TTT-C1905_D7616280","TTT-1917_166798",8.16,3.64,"4.51134976980472","0.0124715289594605"
"TTT-C1905_D8124804","TTT-1917_166798",8.16,3.64,"4.51134976980472","0.0124715289594605"
"TTT-C1905_D8122288","TTT-1917_198131",9.01,4.85,"3.94707834372141","0.213841933061629"
"TTT-C1905_D7604180","TTT-1917_198131",9.01,4.85,"3.94707834372141","0.213841933061629"
"TTT-C1905_D7605962","TTT-1917_166853",9.2,3.94,"4.82006659413499","0.440070715530233"
"TTT-C1905_D8124109","TTT-1917_166853",9.2,3.94,"4.82006659413499","0.440070715530233"
"TTT-C1905_D8124293","TTT-1917_190683",9.4,5.56,"3.7959329098338","0.0421307068581951"
"TTT-C1905_D7615818","TTT-1917_190683",9.4,5.56,"3.7959329098338","0.0421307068581951"
"TTT-C1905_D7617705","TTT-1917_180040",9.59,4.91,"4.0685675068899","0.611781941733666"
"TTT-C1905_D7619300","TTT-1917_194429",9.83,5.43,"3.0641917384625","1.33880807946399"
"TTT-C1905_D7617782","TTT-1917_198105",9.83,3.1,"5.26722461814205","1.47026439341809"
"TTT-C1905_D8117181","TTT-1917_165742",10.03,5.4,"4.5429487797157","0.083482786670039"
"TTT-C1905_D8114639","TTT-1917_207726",10.04,4.2,"4.3751299897785","1.47026439341809"
"TTT-C1905_D7604608","TTT-1917_209301",10.1,4.16,"4.46788407602363","1.47113092774579"
"TTT-C1905_D8122729","TTT-1917_209301",10.1,4.16,"4.46788407602363","1.47113092774579"
"TTT-C1897_D6744442","TTT-1917_216091",10.12,4.75,"3.83908984795254","1.52987409005221"
"TTT-C1905_D7618509","TTT-1917_216091",10.12,4.75,"3.83908984795254","1.52987409005221"
"TTT-C1905_D8125401","TTT-1917_181732",10.3,5.86,"4.1600146631645","0.279812236164176"
"TTT-C1905_D7616771","TTT-1917_181732",10.3,5.86,"4.1600146631645","0.279812236164176"
"TTT-C1905_D8122650","TTT-1917_222506",10.61,6.24,"2.89468085721061","1.47113092774579"
"TTT-C1905_D7604522","TTT-1917_222506",10.61,6.24,"2.89468085721061","1.47113092774579"
"TTT-C1905_D8124037","TTT-1917_163282",10.64,5.99,"3.26419517724426","1.38451278233402"
"TTT-C1905_D7605890","TTT-1917_163282",10.64,5.99,"3.26419517724426","1.38451278233402"
"TTT-C1905_D7604314","TTT-1917_172187",11.21,7.06,"2.6609508078584","1.48339654085022"
"TTT-C1905_D7617632","TTT-1917_174230",11.41,5.38,"4.48189478313128","1.54201533326919"
"TTT-C1905_D7616700","TTT-1917_211704",11.58,5.52,"4.74871070760481","1.31618188291721"
"TTT-C1905_D8125227","TTT-1917_211704",11.58,5.52,"4.74871070760481","1.31618188291721"
"TTT-C1905_D7606113","TTT-1917_167109",11.62,4.31,"5.96619463714839","1.34316070252218"
"TTT-C1905_D7618304","TTT-1917_176776",11.79,4.65,"5.56825461380603","1.57234341803237"
"TTT-C1905_D8124333","TTT-1917_184234",12.6,7.9,"3.36795145878975","1.33880807946399"
"TTT-C1905_D7615861","TTT-1917_184234",12.6,7.9,"3.36795145878975","1.33880807946399"
"TTT-C1905_D7615931","TTT-1917_178320",12.72,7.23,"4.14995335480684","1.33880807946399"
"TTT-C1905_D8124428","TTT-1917_178320",12.72,7.23,"4.14995335480684","1.33880807946399"
"TTT-C1905_D8124516","TTT-1917_221253",12.8,8.18,"3.28676671555088","1.33880807946399"
"TTT-C1905_D7616021","TTT-1917_221253",12.8,8.18,"3.28676671555088","1.33880807946399"
"TTT-C1905_D7615842","TTT-1917_198189",13.49,6.65,"5.48907339709905","1.34316070252218"
"TTT-C1905_D8124316","TTT-1917_198189",13.49,6.65,"5.48907339709905","1.34316070252218"
"TTT-C1905_D7602815","TTT-1917_204478",14.31,7.39,"5.18804340143507","1.73576242377721"
"TTT-C1905_D8120955","TTT-1917_204478",14.31,7.39,"5.18804340143507","1.73576242377721"
"TTT-C1905_D7616328","TTT-1917_176950",14.41,8.03,"5.06310465015645","1.31350152462344"
"TTT-C1905_D8122677","TTT-1917_197988",14.77,9.62,"3.68176391040981","1.47113092774579"
"TTT-C1905_D7604539","TTT-1917_197988",14.77,9.62,"3.68176391040981","1.47113092774579"
"TTT-C1905_D7615930","TTT-1917_196851",14.98,9.64,"4.00477351442897","1.33880807946399"
"TTT-C1905_D8124427","TTT-1917_196851",14.98,9.64,"4.00477351442897","1.33880807946399"
"TTT-C1905_D8122002","TTT-1917_176178",15.71,10.43,"3.76616535156904","1.51487192872561"
"TTT-C1905_D7603924","TTT-1917_176178",15.71,10.43,"3.76616535156904","1.51487192872561"
"TTT-C1905_D7616318","TTT-1917_218797",15.71,12.81,"2.88647086150705","0.0124715289594605"
"TTT-C1905_D8124831","TTT-1917_218797",15.71,12.81,"2.88647086150705","0.0124715289594605"
"TTT-C1905_D8114328","TTT-1917_178210",18.12,10.54,"6.26722463281237","1.31618188291721"
